yourlist:M2018032183C3DD8CE55183C76102DC5D3A26728B0F40044	Entry	Entry name	Gene names
P68400	P68400	CSK21_HUMAN	CSNK2A1 CK2A1
P51813	P51813	BMX_HUMAN	BMX
Q05397	Q05397	FAK1_HUMAN	PTK2 FAK FAK1
Q06187	Q06187	BTK_HUMAN	BTK AGMX1 ATK BPK
P12931	P12931	SRC_HUMAN	SRC SRC1
P42574	P42574	CASP3_HUMAN	CASP3 CPP32
P42680	P42680	TEC_HUMAN	TEC PSCTK4
Q08881	Q08881	ITK_HUMAN	ITK EMT LYK
O14965	O14965	AURKA_HUMAN	AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6
P06493	P06493	CDK1_HUMAN	CDK1 CDC2 CDC28A CDKN1 P34CDC2
P00519	P00519	ABL1_HUMAN	ABL1 ABL JTK7
P17612	P17612	KAPCA_HUMAN	PRKACA PKACA
P41240	P41240	CSK_HUMAN	CSK
Q05655	Q05655	KPCD_HUMAN	PRKCD
Q8IVH8	Q8IVH8	M4K3_HUMAN	MAP4K3 RAB8IPL1
P07948	P07948	LYN_HUMAN	LYN JTK8
P00533	P00533	EGFR_HUMAN	EGFR ERBB ERBB1 HER1
P42679	P42679	MATK_HUMAN	MATK CTK HYL
Q13043	Q13043	STK4_HUMAN	STK4 KRS2 MST1
Q09472	Q09472	EP300_HUMAN	EP300 P300
Q92993	Q92993	KAT5_HUMAN	KAT5 HTATIP TIP60
P45983	P45983	MK08_HUMAN	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C
P50750	P50750	CDK9_HUMAN	CDK9 CDC2L4 TAK
Q00535	Q00535	CDK5_HUMAN	CDK5 CDKN5
P28482	P28482	MK01_HUMAN	MAPK1 ERK2 PRKM1 PRKM2
P50613	P50613	CDK7_HUMAN	CDK7 CAK CAK1 CDKN7 MO15 STK1
P16591	P16591	FER_HUMAN	FER TYK3
P11309	P11309	PIM1_HUMAN	PIM1
Q9NQU5	Q9NQU5	PAK6_HUMAN	PAK6 PAK5
P31749	P31749	AKT1_HUMAN	AKT1 PKB RAC
Q07912	Q07912	ACK1_HUMAN	TNK2 ACK1
Q92831	Q92831	KAT2B_HUMAN	KAT2B PCAF
P24941	P24941	CDK2_HUMAN	CDK2 CDKN2
Q14790	Q14790	CASP8_HUMAN	CASP8 MCH5
P27361	P27361	MK03_HUMAN	MAPK3 ERK1 PRKM3
Q16539	Q16539	MK14_HUMAN	MAPK14 CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A
P08069	P08069	IGF1R_HUMAN	IGF1R
Q9UQM7	Q9UQM7	KCC2A_HUMAN	CAMK2A CAMKA KIAA0968
Q15418	Q15418	KS6A1_HUMAN	RPS6KA1 MAPKAPK1A RSK1
Q13153	Q13153	PAK1_HUMAN	PAK1
P06241	P06241	FYN_HUMAN	FYN
Q13555	Q13555	KCC2G_HUMAN	CAMK2G CAMK CAMK-II CAMKG
Q08209	Q08209	PP2BA_HUMAN	PPP3CA CALNA CNA
P49841	P49841	GSK3B_HUMAN	GSK3B
P49674	P49674	KC1E_HUMAN	CSNK1E
P06213	P06213	INSR_HUMAN	INSR
P29350	P29350	PTN6_HUMAN	PTPN6 HCP PTP1C
P17706	P17706	PTN2_HUMAN	PTPN2 PTPT
Q12913	Q12913	PTPRJ_HUMAN	PTPRJ DEP1
P17252	P17252	KPCA_HUMAN	PRKCA PKCA PRKACA
Q05209	Q05209	PTN12_HUMAN	PTPN12
P18031	P18031	PTN1_HUMAN	PTPN1 PTP1B
P23467	P23467	PTPRB_HUMAN	PTPRB PTPB
P10586	P10586	PTPRF_HUMAN	PTPRF LAR
Q12923	Q12923	PTN13_HUMAN	PTPN13 PNP1 PTP1E PTPL1
Q9HD43	Q9HD43	PTPRH_HUMAN	PTPRH SAP1
P43378	P43378	PTN9_HUMAN	PTPN9
P30530	P30530	UFO_HUMAN	AXL UFO
O15111	O15111	IKKA_HUMAN	CHUK IKKA TCF16
Q04759	Q04759	KPCT_HUMAN	PRKCQ PRKCT
Q9Y243	Q9Y243	AKT3_HUMAN	AKT3 PKBG
Q99558	Q99558	M3K14_HUMAN	MAP3K14 NIK
P31751	P31751	AKT2_HUMAN	AKT2
O00141	O00141	SGK1_HUMAN	SGK1 SGK
P08575	P08575	PTPRC_HUMAN	PTPRC CD45
P06239	P06239	LCK_HUMAN	LCK
P43405	P43405	KSYK_HUMAN	SYK
Q9Y2R2	Q9Y2R2	PTN22_HUMAN	PTPN22 PTPN8
P08637	P08637	FCG3A_HUMAN	FCGR3A CD16A FCG3 FCGR3 IGFR3
