Source	Weight	Target
PTGER4	2	ARRB
PTGER4	2	GNAS
PTGER4	2	GBG
PTGER4	2	GNAI
PTGER3	2	ARRB
PTGER3	2	GBG
PTGER3	2	GNAI
PTGER2	2	ARRB
PTGER2	2	GNAS
GNAQ	2	PLCG1
GNAQ	2	PLCB1
PTGER1	2	ARRB
PTGER1	2	GNAQ
CAMKii	2	CD44_S706
CSNK2A1	2	CD5_S483
CSNK2A1	2	CALM1_S82
CSNK2A1	2	SSB_S366
CSNK2A1	2	MYH9_S1943
CSNK2A1	2	EIF2S2_S2
CSNK2A1	2	NCOA2_S493
CSNK2A1	2	HDAC1_S393
CSNK2A1	2	G3BP1_S149
CSNK2A1	2	LIG1_S66
CSNK2A1	2	LIG1_S141
AURKA	2	NUMA1_S1969
AURKA	2	TACC3_S558
CDK7	2	CDK11B_T595
CDK7	2	POLR2A_S1913
cPRKC	2	LMNB1_S405
MAPKAPK2	2	NELFE_S51
MAPKAPK2	2	NELFE_S115
MAPKAPK2	2	LSP1_S252
nPRKC	2	ARHGEF6_S225
nPRKC	2	ARHGEF6_S488
CHEK1	2	RBM14_S618
PRKACA	2	VASP_S239
PRKACA	2	CHKB_S39
PRKACA	2	CHKB_S40
PRKACA	2	PDE3B_S442
PRKACA	2	VIM_S47
PRKACA	2	ATXN1_S775
PRKACA	2	CAD_S1406
PRKACA	2	PSMD11_S14
PRKACA	2	NF2_S518
PRKACA	2	LCP1_S5
PRKACA	2	LCP1_S7
PRKACA	2	PTPN7_S44
MAP4K1	2	MAP4K1_S421
SRC	2	PAG1_Y317
PTK2B	2	PTK2B_S375
RPS6KB2	2	HNRNPA1_S6
CDK1	2	FLNA_S1459
CDK1	2	OGFR_S378
CDK1	2	ZC3HC1_S395
CDK1	2	SSR1_S268
CDK1	2	LMNA_S390
CDK1	2	USP24_S2047
CDK1	2	UBAP2L_S454
CDK1	2	DNM1L_S616
CDK1	2	EEF1D_S133
CDK1	2	CREB1_S271
CDK1	2	NAGK_S76
CDK1	2	EFHD2_S74
CDK1	2	NUCKS1_S181
PRKDC	2	VIM_S430
PRKD1	2	RABEP1_S407
PKN2	2	LCK_Y394
MARK2	2	RAB11FIP1_S234
SGK1	2	CARHSP1_S52
GSK3B	2	BCLAF1_S531
LCK	2	LCK_Y394
MAPK14	2	SLC9A1_S693
CHUK	2	NCOA3_S857
CDK2	2	SNAPIN_S133
CDK2	2	BTG1_S159
CDK2	2	NCL_S67
CDK2	2	SF3B1_T142
CDK2	2	TERF2IP_S203
CDK2	2	CENPA_S19
CDK2	2	THRAP3_T874
CDK2	2	MCM2_S27
CDK2	2	NPM1_S125
CDK2	2	SUPT5H_S666
CDK2	2	ARID1A_S363
CDK2	2	SUPT6H_T1523
EEF2K	2	EEF2_T57
PRKG1	2	RAP1GAP2_S7
MAPK1	2	ABI1_S183
MAPK1	2	MED1_S1156
MAPK1	2	STAT5A_S780
MAPK1	2	SORBS3_S530
GSK3A	2	USF1_S186
PLK1	2	HNRNPU_S59
CDK5	2	DBN1_S142
ROCK1	2	SCRIB_S1378
HIPK2	2	KLF3_S92
MTOR	2	WNK1_S2032
DYRK2	2	CARHSP1_S41
CSNK2A1	2	HMGA1_S103
CSNK2A1	2	HMGA1_S102
PAK1	2	VIM_S25
PAK1	2	VIM_S73
MAP3K8	2	EIF4G1_S1147
ATM	2	ATM_T1885
TTK	2	USP16_S415
cPRKC	2	DOCK8_S2082
cPRKC	2	DOCK8_S2077
cPRKC	2	SPN_S351
cPRKC	2	PPP2R5A_S41
cPRKC	2	VIM_S26
cPRKC	2	EIF4G1_S1185
AURKB	2	NUMA1_S2047
AURKB	2	DSN1_S109
AURKB	2	PPHLN1_S110
AURKB	2	DDA1_S33
MAPK8	2	ATF2_S112
BRAF	2	BAD_S118
AKT	2	FAM129A_S602
AKT	2	PEA15_S116
NUAK1	2	PPP1R12A_S445
CDK7	2	POU2F1_S448
FYN	2	CD247_Y123
MAPK3	2	RPS6KA3_S715
SIK1	2	CRTC2_S70
PTPN11	2	STAT1_S727
MAPK1	2	RAF1_S43
cPRKC	2	PEA15_S104
PPP2CA	2	HDAC7_S486
RPS6KA3	2	HMGN1_S7
PRKACA	2	ITPR1_S1598
PKN1	2	ARHGEF2_S886
PRKACA	2	PPP1R9B_S100
PPP3CA	2	FLNA_S2152
ILK	2	PPP1R12A_T696
PPP3R1	2	NFATC2_S326
RPS6KA2	2	RPS6KA1_S221
PRKAB2	2	CDC27_S379
PRKAG1	2	KLC2_S582
ZRANB2	2	ZRANB2_S188
CDK12	2	CDK12_S383
PAK6	2	CBL_S619
AKT	2	CDK9_S347
PRKACA	2	CHAF1B_S410
PRKACA	2	EIF4ENIF1_S564
PRKACA	2	EIF4ENIF1_S951
MAPK9	2	EIF4ENIF1_S670
